"","character(0)","character(0)","character(0)"
"’snsecretary",0,0,1
"’snshareholders",1,1,0
"“annual",1,1,2
"“beneficial",0,0,1
"“board",0,0,1
"“broker",1,1,0
"“brokernnonvote",0,0,1
"“computershare",1,1,1
"“exchange",1,0,1
"“householding",1,1,1
"“human",0,0,1
"“legal",0,0,1
"“netzero",0,0,1
"“nonroutine",1,1,2
"“notice",1,1,1
"“proxy",0,0,1
"“record",1,1,1
"“routine",1,1,2
"“sec",0,0,1
"“shareholder",0,0,1
"“street",2,2,2
"“uncontested",0,0,1
"ability",1,1,0
"able",1,1,0
"aboutnhouseholding",0,0,1
"abstained",1,1,0
"abstentions",4,4,3
"access",5,5,5
"accordance",1,1,4
"accordingly",1,1,1
"account",3,3,1
"accounting",3,3,2
"act",2,0,2
"acted",1,1,1
"actions",1,0,0
"addition",4,2,2
"additional",2,2,2
"adjourn",0,0,1
"adjourned",1,1,0
"adjournments",1,1,1
"admission",1,1,2
"adopted",1,1,1
"advance",0,0,2
"advantage",0,0,1
"advisory",3,3,2
"advisorynresolution",0,0,1
"affirmative",5,5,6
"agent",1,1,1
"aggregate",0,0,1
"agreed",0,0,1
"aligncentergeneral",1,0,0
"allninformation",1,1,1
"allnshares",1,1,0
"allow",1,1,1
"amend",2,2,0
"amended",0,0,5
"amendments",6,6,0
"among",0,0,1
"anbeneficial",1,1,0
"andn",0,0,1
"andnabstentions",1,1,1
"andnproposals",0,0,1
"andnreceived",0,0,1
"andnsending",1,1,0
"andnwe",0,0,1
"andor",1,0,0
"anlegal",1,1,0
"anmajority",2,2,0
"announced",1,1,1
"annual",46,39,56
"annualn",1,1,0
"annualnmeeting",2,2,5
"annuncontested",0,0,1
"another",1,1,1
"anshareholder",0,0,1
"apple",1,2,71
"applicable",6,6,7
"appointment",3,3,3
"approval",3,3,5
"approve",1,1,3
"approved",1,1,0
"approving",0,0,1
"approximately",0,0,1
"arrive",0,0,2
"arriven",1,1,0
"ask",0,0,1
"asked",1,0,1
"asndirectors",1,0,0
"asnthe",1,1,0
"assert",0,0,1
"assist",1,1,1
"associated",1,1,2
"atn",0,0,1
"atninvestorapplecom",0,0,1
"atnthe",0,0,1
"attend",3,3,4
"attendance",2,2,1
"attending",1,1,2
"august",0,0,1
"authority",2,1,1
"authorizes",0,0,1
"automatically",1,1,0
"automaticallynrevoke",0,0,1
"availability",3,3,5
"available",2,2,2
"back",1,1,0
"backnin",1,1,0
"ballot",2,2,5
"ballots",1,1,1
"bank",3,3,3
"banks",0,0,2
"based",1,1,1
"basi",0,1,0
"basis",1,1,1
"basisnregistration",1,0,0
"beennprovided",1,0,0
"begin",1,0,1
"behalf",1,1,1
"beneficial",10,10,15
"beneficialnowner",0,0,1
"beneficialnowners",1,1,0
"benelected",1,1,1
"benforwarded",0,0,1
"best",0,0,1
"board",9,9,10
"bring",0,0,2
"bringnvalid",0,0,1
"broker",8,8,9
"brokerage",3,3,4
"brokerdealer",2,2,2
"brokerdealers",0,0,2
"brokernnonvotes",2,2,0
"brokers",1,1,0
"brought",1,0,2
"bruce",0,1,1
"brucensewell",0,1,0
"building",1,1,1
"business",3,1,4
"bylaws",3,2,7
"bylawsnnotice",0,0,1
"bynproxy",0,0,1
"calendar",1,1,1
"california",5,5,5
"call",1,1,1
"called",2,2,2
"calling",2,2,2
"candidates",0,0,2
"card",7,7,9
"cards",2,2,1
"carefully",1,1,1
"case",1,1,3
"cellnphones",1,0,0
"certain",2,2,1
"certification",1,1,1
"change",2,2,4
"charge",0,0,1
"choice",1,1,1
"choose",1,1,0
"choosing",1,1,0
"claims",0,0,1
"close",3,1,1
"come",0,0,1
"comments",1,1,2
"committee",2,2,0
"common",1,1,3
"commonnstock",1,1,0
"communication",0,0,1
"company",61,54,1
"companysponsored",1,0,0
"compensation",4,4,4
"comply",1,0,1
"computers",1,0,1
"computershare",2,2,2
"conducted",0,0,1
"confer",1,0,0
"confidential",1,1,1
"connection",3,3,3
"consideration",1,0,1
"considered",7,5,5
"constitute",2,2,4
"constitutes",1,1,1
"constituting",0,0,1
"contact",1,1,5
"contacted",1,1,1
"contained",0,0,1
"containing",1,1,0
"contentsnn",0,0,6
"contentsnnnnn",0,0,2
"continue",1,1,1
"continuously",0,0,1
"contrary",1,1,1
"control",1,1,1
"copies",6,6,5
"copy",7,7,9
"copynof",0,0,1
"cost",3,3,1
"costs",2,2,3
"costsnand",1,1,0
"counsel",3,2,0
"count",1,1,1
"counted",4,4,5
"cupertino",5,5,4
"current",0,0,1
"cutoff",0,0,1
"date",4,3,11
"dated",0,0,1
"datenor",1,1,0
"dates",0,0,1
"days",0,0,2
"deadline",1,0,2
"december",1,1,1
"defend",0,0,1
"deliver",1,1,1
"delivered",4,2,2
"delivering",2,2,1
"delivernpromptly",0,0,1
"depend",0,0,2
"described",2,2,3
"determine",1,1,1
"determined",0,0,1
"determining",4,4,4
"difference",1,1,1
"directly",2,2,4
"director",4,3,12
"directornnomination",1,0,0
"directors",5,5,9
"directorsnofficers",0,0,1
"disclosed",1,1,1
"discretion",1,1,2
"discretionary",1,0,0
"distribution",0,0,1
"diversity",0,0,1
"document",0,0,1
"documents",2,2,1
"driver",1,0,3
"duly",1,1,0
"earlier",1,0,5
"effect",4,4,1
"eight",0,0,2
"either",1,1,1
"elect",0,0,1
"elected",3,3,0
"election",8,8,15
"electna",0,0,1
"electronic",1,1,1
"electronically",2,2,1
"email",8,8,2
"emissions",0,0,1
"employee",3,3,3
"employees",1,1,1
"encourage",0,0,2
"encourages",2,2,1
"end",0,0,1
"ended",1,1,1
"ending",1,1,0
"ends",1,1,1
"ensure",0,0,1
"entering",1,1,1
"entitled",4,4,7
"envelope",2,2,2
"environment",1,1,0
"environmental",1,1,1
"equipment",1,0,1
"ernst",3,3,2
"establish",2,2,0
"estimated",1,1,0
"exceed",0,0,1
"except",1,1,1
"exchange",1,0,1
"exchangencommission",0,0,1
"exchanges",1,1,0
"executive",6,6,6
"exist",1,1,1
"expected",1,1,1
"expenses",1,1,1
"facilitate",1,1,1
"facsimile",3,1,0
"february",1,1,1
"fee",0,0,1
"fees",2,2,1
"file",1,1,0
"filed",1,1,1
"fill",0,0,1
"filling",2,2,2
"final",2,2,2
"find",1,1,1
"firm",4,4,5
"firmnfor",1,1,0
"firms",1,1,2
"first",1,1,1
"firstcome",1,1,0
"firstcomenfirstserved",0,0,1
"firstserved",1,1,0
"fiscal",3,3,3
"fixed",0,0,1
"follow",0,0,1
"following",3,3,4
"form",10,8,10
"formnq",1,1,0
"forn",1,1,0
"forninclusion",1,0,0
"fornthe",0,0,1
"forth",1,0,3
"forwarded",1,1,1
"forwardednto",1,1,0
"forwarding",2,2,2
"found",4,4,3
"four",2,2,3
"free",2,2,3
"fromnyou",0,0,1
"full",1,1,1
"furnishing",0,0,1
"future",3,3,2
"gas",0,0,1
"general",3,3,0
"generally",2,2,3
"generallynvote",1,1,0
"georgeson",2,2,1
"georgesonninc",0,0,1
"get",1,1,0
"give",2,2,1
"given",1,1,0
"giving",1,1,1
"greenhouse",0,0,1
"group",0,0,1
"hall",0,0,1
"hand",0,0,1
"handled",1,1,1
"happens",1,1,1
"hasnretained",1,1,0
"havenvoted",1,1,0
"held",13,13,17
"high",0,0,1
"highest",1,1,0
